weekday,hour,Probability
Saturday,10,0.02197802197802198
Saturday,8,0.018315018315018316
Saturday,11,0.018315018315018316
Saturday,17,0.018315018315018316
Saturday,6,0.014652014652014652
Saturday,7,0.014652014652014652
Saturday,12,0.014652014652014652
Saturday,14,0.014652014652014652
Saturday,16,0.014652014652014652
Saturday,19,0.014652014652014652
Saturday,21,0.014652014652014652
Tuesday,9,0.014652014652014652
Friday,9,0.01098901098901099
Monday,8,0.01098901098901099
Monday,9,0.01098901098901099
Monday,11,0.01098901098901099
Monday,16,0.01098901098901099
Monday,19,0.01098901098901099
Saturday,1,0.01098901098901099
Saturday,2,0.01098901098901099
Saturday,4,0.01098901098901099
Saturday,5,0.01098901098901099
Saturday,9,0.01098901098901099
Saturday,13,0.01098901098901099
Saturday,15,0.01098901098901099
Saturday,18,0.01098901098901099
Saturday,20,0.01098901098901099
Saturday,22,0.01098901098901099
Thursday,9,0.01098901098901099
Thursday,10,0.01098901098901099
Tuesday,13,0.01098901098901099
Tuesday,17,0.01098901098901099
Wednesday,9,0.01098901098901099
Wednesday,16,0.01098901098901099
Friday,8,0.007326007326007326
Friday,12,0.007326007326007326
Friday,13,0.007326007326007326
Friday,14,0.007326007326007326
Friday,15,0.007326007326007326
Friday,16,0.007326007326007326
Friday,17,0.007326007326007326
Friday,18,0.007326007326007326
Friday,20,0.007326007326007326
Friday,21,0.007326007326007326
Friday,22,0.007326007326007326
Monday,14,0.007326007326007326
Monday,15,0.007326007326007326
Monday,17,0.007326007326007326
Saturday,0,0.007326007326007326
Saturday,3,0.007326007326007326
Sunday,0,0.007326007326007326
Sunday,5,0.007326007326007326
Sunday,6,0.007326007326007326
Sunday,19,0.007326007326007326
Sunday,20,0.007326007326007326
Sunday,22,0.007326007326007326
Thursday,12,0.007326007326007326
Thursday,13,0.007326007326007326
Thursday,15,0.007326007326007326
Thursday,16,0.007326007326007326
Thursday,19,0.007326007326007326
Tuesday,5,0.007326007326007326
Tuesday,6,0.007326007326007326
Tuesday,7,0.007326007326007326
Tuesday,10,0.007326007326007326
Tuesday,11,0.007326007326007326
Tuesday,12,0.007326007326007326
Tuesday,16,0.007326007326007326
Tuesday,18,0.007326007326007326
Tuesday,20,0.007326007326007326
Wednesday,12,0.007326007326007326
Wednesday,18,0.007326007326007326
Friday,0,0.003663003663003663
Friday,1,0.003663003663003663
Friday,2,0.003663003663003663
Friday,5,0.003663003663003663
Friday,6,0.003663003663003663
Friday,7,0.003663003663003663
Friday,10,0.003663003663003663
Friday,11,0.003663003663003663
Friday,19,0.003663003663003663
Friday,23,0.003663003663003663
Monday,0,0.003663003663003663
Monday,2,0.003663003663003663
Monday,3,0.003663003663003663
Monday,4,0.003663003663003663
Monday,5,0.003663003663003663
Monday,6,0.003663003663003663
Monday,7,0.003663003663003663
Monday,10,0.003663003663003663
Monday,12,0.003663003663003663
Monday,13,0.003663003663003663
Monday,18,0.003663003663003663
Monday,20,0.003663003663003663
Monday,22,0.003663003663003663
Monday,23,0.003663003663003663
Saturday,23,0.003663003663003663
Sunday,7,0.003663003663003663
Sunday,9,0.003663003663003663
Sunday,12,0.003663003663003663
Sunday,13,0.003663003663003663
Sunday,14,0.003663003663003663
Sunday,16,0.003663003663003663
Sunday,17,0.003663003663003663
Sunday,18,0.003663003663003663
Sunday,21,0.003663003663003663
Sunday,23,0.003663003663003663
Thursday,0,0.003663003663003663
Thursday,1,0.003663003663003663
Thursday,2,0.003663003663003663
Thursday,3,0.003663003663003663
Thursday,4,0.003663003663003663
Thursday,5,0.003663003663003663
Thursday,6,0.003663003663003663
Thursday,7,0.003663003663003663
Thursday,8,0.003663003663003663
Thursday,11,0.003663003663003663
Thursday,14,0.003663003663003663
Thursday,17,0.003663003663003663
Thursday,18,0.003663003663003663
Thursday,20,0.003663003663003663
Thursday,21,0.003663003663003663
Thursday,22,0.003663003663003663
Tuesday,0,0.003663003663003663
Tuesday,1,0.003663003663003663
Tuesday,3,0.003663003663003663
Tuesday,8,0.003663003663003663
Tuesday,14,0.003663003663003663
Tuesday,15,0.003663003663003663
Tuesday,19,0.003663003663003663
Tuesday,21,0.003663003663003663
Tuesday,22,0.003663003663003663
Tuesday,23,0.003663003663003663
Wednesday,0,0.003663003663003663
Wednesday,1,0.003663003663003663
Wednesday,2,0.003663003663003663
Wednesday,4,0.003663003663003663
Wednesday,5,0.003663003663003663
Wednesday,6,0.003663003663003663
Wednesday,7,0.003663003663003663
Wednesday,8,0.003663003663003663
Wednesday,10,0.003663003663003663
Wednesday,11,0.003663003663003663
Wednesday,13,0.003663003663003663
Wednesday,14,0.003663003663003663
Wednesday,15,0.003663003663003663
Wednesday,17,0.003663003663003663
Wednesday,19,0.003663003663003663
Wednesday,21,0.003663003663003663
Wednesday,23,0.003663003663003663
Friday,3,0.0
Friday,4,0.0
Monday,1,0.0
Monday,21,0.0
Sunday,1,0.0
Sunday,2,0.0
Sunday,3,0.0
Sunday,4,0.0
Sunday,8,0.0
Sunday,10,0.0
Sunday,11,0.0
Sunday,15,0.0
Thursday,23,0.0
Tuesday,2,0.0
Tuesday,4,0.0
Wednesday,3,0.0
Wednesday,20,0.0
Wednesday,22,0.0
